"candidate_name","division","V1","election_year"
"John B. Anderson","East North Central",-1.6205337020427,1980
"Ronald Reagan","East North Central",-0.07161034531413,1980
"Jimmy Carter","East South Central",0.386557372307952,1980
"John B. Anderson","East South Central",-2.51896089780834,1980
"Ronald Reagan","East South Central",0.440405448451124,1980
"Jimmy Carter","Middle Atlantic",-0.449378284249532,1980
"John B. Anderson","Middle Atlantic",-1.55568339302191,1980
"Ronald Reagan","Middle Atlantic",0.049994676316927,1980
"Jimmy Carter","Mountain",-0.966726248376192,1980
"John B. Anderson","Mountain",-1.83919924618077,1980
"Ronald Reagan","Mountain",0.643489197744659,1980
"Jimmy Carter","New England",-0.855278684430062,1980
"John B. Anderson","New England",-1.00026936231245,1980
"Ronald Reagan","New England",-0.470218985275628,1980
"Jimmy Carter","Pacific",-0.648257107828605,1980
"John B. Anderson","Pacific",-1.35630142675821,1980
"Ronald Reagan","Pacific",-0.0021494694229895,1980
"Jimmy Carter","South Atlantic",0.538627611907276,1980
"John B. Anderson","South Atlantic",-2.23758485791078,1980
"Ronald Reagan","South Atlantic",-0.0194400333186476,1980
"Jimmy Carter","West North Central",-0.483912909968086,1980
"John B. Anderson","West North Central",-1.56408560935318,1980
"Ronald Reagan","West North Central",0.113367175580559,1980
"Jimmy Carter","West South Central",0.0329050687571208,1980
"John B. Anderson","West South Central",-2.20589585951384,1980
"Ronald Reagan","West South Central",0.494036882714555,1980
"Gerald R. Ford","East North Central",0.406914399831423,1976
"Jimmy Carter","East North Central",0.61695285827737,1976
"Gerald R. Ford","Middle Atlantic",0.332247476979551,1976
"Jimmy Carter","Middle Atlantic",0.204128781336368,1976
"Gerald R. Ford","Mountain",0.753820017603142,1976
"Jimmy Carter","Mountain",0.0305658577944076,1976
"Gerald R. Ford","New England",0.30049707011968,1976
"Jimmy Carter","New England",0.670880759905355,1976
"Gerald R. Ford","Pacific",-0.191348062897002,1976
"Jimmy Carter","Pacific",0.450571541157088,1976
"Gerald R. Ford","South Atlantic",-0.356756746501596,1976
"Jimmy Carter","South Atlantic",0.259709359177104,1976
"Gerald R. Ford","West North Central",0.471955127981233,1976
"Jimmy Carter","West North Central",0.412136239253117,1976
"George S. McGovern","East North Central",-0.397181769645275,1972
"Richard M. Nixon","East North Central",1.36088381804857,1972
"George S. McGovern","East South Central",-0.402924537593863,1972
"Richard M. Nixon","East South Central",0.77338541641018,1972
"George S. McGovern","Middle Atlantic",-0.591135384099104,1972
"Richard M. Nixon","Middle Atlantic",1.0558348868551,1972
"George S. McGovern","New England",-0.307184031055488,1972
"Richard M. Nixon","New England",1.21292040169351,1972
"George S. McGovern","Pacific",0.0880119629912523,1972
"Richard M. Nixon","Pacific",0.810835882884343,1972
"George S. McGovern","South Atlantic",-0.978800571728517,1972
"Richard M. Nixon","South Atlantic",1.98926684991873,1972
"George S. McGovern","West North Central",-0.972122786585631,1972
"Richard M. Nixon","West North Central",1.53767949297165,1972
"George S. McGovern","West South Central",-1.14512007657908,1972
"Richard M. Nixon","West South Central",2.64577261843403,1972
