"candidate_name","division","pct_estimate","election_year"
"John B. Anderson","South Atlantic",6.73944388608696,1980
"Ronald Reagan","South Atlantic",37.6486181989101,1980
"Jimmy Carter","West North Central",31.1763297582418,1980
"John B. Anderson","West North Central",16.1244513222222,1980
"Ronald Reagan","West North Central",39.4992463113553,1980
"Jimmy Carter","West South Central",38.3780312951807,1980
"John B. Anderson","West South Central",7.18102045240964,1980
"Ronald Reagan","West South Central",44.8037630421687,1980
"Gerald R. Ford","East North Central",43.5897377088608,1976
"Jimmy Carter","East North Central",46.5165598227848,1976
"Gerald R. Ford","Middle Atlantic",42.5492768208955,1976
"Jimmy Carter","Middle Atlantic",40.7639817164179,1976
"Gerald R. Ford","Mountain",48.4237621111111,1976
"Jimmy Carter","Mountain",38.3454351010101,1976
"Gerald R. Ford","New England",42.1068445462963,1976
"Jimmy Carter","New England",47.26802875,1976
"Gerald R. Ford","Pacific",35.253132028169,1976
"Jimmy Carter","Pacific",44.1980867112676,1976
"Gerald R. Ford","South Atlantic",32.9482122692308,1976
"Jimmy Carter","South Atlantic",41.5384801846154,1976
"Gerald R. Ford","West North Central",44.4960604978541,1976
"Jimmy Carter","West North Central",43.6625024549356,1976
"George S. McGovern","East North Central",32.3849018518519,1972
"Richard M. Nixon","East North Central",56.8830117592593,1972
"George S. McGovern","East South Central",32.304878125,1972
"Richard M. Nixon","East South Central",48.6964,1972
"George S. McGovern","Middle Atlantic",29.6822171527778,1972
"Richard M. Nixon","Middle Atlantic",52.6322475694444,1972
"George S. McGovern","New England",33.638993,1972
"Richard M. Nixon","New England",54.8211865,1972
"George S. McGovern","Pacific",39.1459291262136,1972
"Richard M. Nixon","Pacific",49.2182608737864,1972
"George S. McGovern","South Atlantic",24.2802205263158,1972
"Richard M. Nixon","South Atlantic",65.6393384210526,1972
"George S. McGovern","West North Central",24.3732734337349,1972
"Richard M. Nixon","West North Central",59.3466057831325,1972
"George S. McGovern","West South Central",21.96260875,1972
"Richard M. Nixon","West South Central",74.787546875,1972
